[20:13:20] [INFO] received Windows console close event; shutting log-core down
[20:15:15] [INFO] received Windows console close event; shutting log-core down
[20:17:49] [INFO] received Windows console close event; shutting log-core down
[20:18:35] [INFO] received Windows console close event; shutting log-core down
[20:20:38] [INFO] received Windows console close event; shutting log-core down
[20:21:01] [INFO] received Windows console close event; shutting log-core down
[20:23:30] [INFO] received Windows console close event; shutting log-core down
[20:24:36] [INFO] received Windows console close event; shutting log-core down
[20:26:04] [INFO] received Windows console close event; shutting log-core down
[20:30:22] [INFO] received Windows console close event; shutting log-core down
[20:34:07] [INFO] received Windows console close event; shutting log-core down
[20:35:21] [INFO] received Windows console close event; shutting log-core down
[20:36:14] [INFO] received Windows console close event; shutting log-core down
[20:37:09] [INFO] received Windows console close event; shutting log-core down
[20:42:10] [INFO] received Windows console close event; shutting log-core down
[20:43:59] [INFO] received Windows console close event; shutting log-core down
[20:57:02] [INFO] received Windows console close event; shutting log-core down
[21:43:34] [INFO] received Windows console close event; shutting log-core down
[21:46:40] [INFO] received Windows console close event; shutting log-core down
[21:49:05] [INFO] received Windows console close event; shutting log-core down
[21:53:30] [INFO] received Windows console close event; shutting log-core down
[21:55:36] [INFO] received Windows console close event; shutting log-core down
[21:58:19] [INFO] received Windows console close event; shutting log-core down
[21:59:46] [INFO] received Windows console close event; shutting log-core down
[22:00:43] [INFO] received Windows console close event; shutting log-core down
[22:00:47] [INFO] received Windows console close event; shutting log-core down
[22:05:56] [INFO] received Windows console close event; shutting log-core down
[22:07:14] [INFO] received Windows console close event; shutting log-core down
[22:07:57] [INFO] received Windows console close event; shutting log-core down
[22:09:15] [INFO] received Windows console close event; shutting log-core down
[22:26:20] [INFO] received Windows console close event; shutting log-core down
[22:31:44] [INFO] received Windows console close event; shutting log-core down
[12:43:08] [INFO] received Windows console close event; shutting log-core down
[12:46:36] [INFO] received Windows console close event; shutting log-core down
[14:30:21] [INFO] received Windows console close event; shutting log-core down
[14:37:41] [INFO] received Windows console close event; shutting log-core down
[14:38:21] [INFO] received Windows console close event; shutting log-core down
[15:50:47] [INFO] received Windows console close event; shutting log-core down
[16:10:29] [INFO] received Windows console close event; shutting log-core down
[16:12:42] [INFO] received Windows console close event; shutting log-core down
[16:13:47] [INFO] received Windows console close event; shutting log-core down
[02:37:57] [INFO] received Windows console close event; shutting log-core down
[02:40:20] [INFO] received Windows console close event; shutting log-core down
[03:07:24] [INFO] received Windows console close event; shutting log-core down
[03:09:42] [INFO] received Windows console close event; shutting log-core down
[03:21:03] [INFO] received Windows console close event; shutting log-core down
[03:21:51] [INFO] received Windows console close event; shutting log-core down
[03:24:11] [INFO] received Windows console close event; shutting log-core down
[03:33:55] [INFO] received Windows console close event; shutting log-core down
[03:39:48] [INFO] received Windows console close event; shutting log-core down
[03:55:16] [INFO] received Windows console close event; shutting log-core down
[04:04:21] [INFO] received Windows console close event; shutting log-core down
[04:09:00] [INFO] received Windows console close event; shutting log-core down
[04:09:24] [INFO] received Windows console close event; shutting log-core down
[05:07:42] [INFO] received Windows console close event; shutting log-core down
[05:09:15] [INFO] received Windows console close event; shutting log-core down
[05:16:01] [INFO] received Windows console close event; shutting log-core down
[05:16:40] [INFO] received Windows console close event; shutting log-core down
[05:18:03] [INFO] received Windows console close event; shutting log-core down
[05:20:16] [INFO] received Windows console close event; shutting log-core down
[05:20:59] [INFO] received Windows console close event; shutting log-core down
[05:21:50] [INFO] received Windows console close event; shutting log-core down
[05:24:10] [INFO] received Windows console close event; shutting log-core down
[05:39:01] [INFO] received Windows console close event; shutting log-core down
[05:40:06] [INFO] received Windows console close event; shutting log-core down
[05:41:41] [INFO] received Windows console close event; shutting log-core down
[05:42:33] [INFO] received Windows console close event; shutting log-core down
[05:44:48] [INFO] received Windows console close event; shutting log-core down
[05:45:47] [INFO] received Windows console close event; shutting log-core down
[05:52:04] [INFO] received Windows console close event; shutting log-core down
[05:54:19] [INFO] received Windows console close event; shutting log-core down
[05:54:44] [INFO] received Windows console close event; shutting log-core down
[05:54:51] [INFO] received Windows console close event; shutting log-core down
[05:55:57] [INFO] received Windows console close event; shutting log-core down
[05:56:37] [INFO] received Windows console close event; shutting log-core down
[06:02:38] [INFO] received Windows console close event; shutting log-core down
[06:03:45] [INFO] received Windows console close event; shutting log-core down
[06:04:46] [INFO] received Windows console close event; shutting log-core down
[06:06:19] [INFO] received Windows console close event; shutting log-core down
[06:09:28] [INFO] received Windows console close event; shutting log-core down
[06:23:55] [INFO] received Windows console close event; shutting log-core down
[06:27:07] [INFO] received Windows console close event; shutting log-core down
[08:21:04] [INFO] received Windows console close event; shutting log-core down
[08:47:42] [INFO] received Windows console close event; shutting log-core down
[09:38:02] [INFO] received Windows console close event; shutting log-core down
[09:38:04] [INFO] received Windows console close event; shutting log-core down
[09:44:08] [INFO] received Windows console close event; shutting log-core down
[18:41:28] [INFO] received Windows console close event; shutting log-core down
[19:07:13] [INFO] received Windows console close event; shutting log-core down
[19:21:39] [INFO] received Windows console close event; shutting log-core down
[19:22:20] [INFO] received Windows console close event; shutting log-core down
[19:22:21] [INFO] received Windows console close event; shutting log-core down
[19:29:00] [INFO] received Windows console close event; shutting log-core down
[19:30:46] [INFO] received Windows console close event; shutting log-core down
[19:32:52] [INFO] received Windows console close event; shutting log-core down
[19:33:41] [INFO] received Windows console close event; shutting log-core down
[19:36:31] [INFO] received Windows console close event; shutting log-core down
[20:21:42] [INFO] received Windows console close event; shutting log-core down
[20:46:36] [INFO] received Windows console close event; shutting log-core down
[20:59:01] [INFO] received Windows console close event; shutting log-core down
[21:00:38] [INFO] received Windows console close event; shutting log-core down
[21:02:56] [INFO] received Windows console close event; shutting log-core down
[21:03:52] [INFO] received Windows console close event; shutting log-core down
[21:06:30] [INFO] received Windows console close event; shutting log-core down
[21:08:48] [INFO] received Windows console close event; shutting log-core down
[21:11:34] [INFO] received Windows console close event; shutting log-core down
[21:12:42] [INFO] received Windows console close event; shutting log-core down
[21:14:58] [INFO] received Windows console close event; shutting log-core down
[21:15:12] [INFO] received Windows console close event; shutting log-core down
[21:20:57] [INFO] received Windows console close event; shutting log-core down
[21:21:53] [INFO] received Windows console close event; shutting log-core down
[21:23:23] [INFO] received Windows console close event; shutting log-core down
[21:25:35] [INFO] received Windows console close event; shutting log-core down
[21:26:03] [INFO] received Windows console close event; shutting log-core down
[21:43:25] [INFO] received Windows console close event; shutting log-core down
[21:44:17] [INFO] received Windows console close event; shutting log-core down
[21:45:03] [INFO] received Windows console close event; shutting log-core down
[03:46:15] [INFO] received Windows console close event; shutting log-core down
[03:49:54] [INFO] received Windows console close event; shutting log-core down
[03:57:18] [INFO] received Windows console close event; shutting log-core down
[03:59:39] [INFO] received Windows console close event; shutting log-core down
[04:14:14] [INFO] received Windows console close event; shutting log-core down
[04:15:52] [INFO] received Windows console close event; shutting log-core down
[04:29:14] [INFO] received Windows console close event; shutting log-core down
[04:40:27] [INFO] received Windows console close event; shutting log-core down
